,公司代號,公司名稱,年份,數量
1027,1506,正道,102,38
1028,1506,正道,101,32
1029,1506,正道,100,49
1030,1507,永大,109,22
1031,1507,永大,108,55
1032,1507,永大,107,49
1033,1507,永大,106,46
1034,1507,永大,105,16
1035,1507,永大,104,27
1036,1507,永大,103,22
1037,1507,永大,102,21
1038,1507,永大,101,16
1039,1507,永大,100,16
1040,1512,瑞利,109,41
1041,1512,瑞利,108,34
1042,1512,瑞利,107,45
1043,1512,瑞利,106,52
1044,1512,瑞利,105,23
1045,1512,瑞利,104,13
1046,1512,瑞利,103,22
1047,1512,瑞利,102,26
1048,1512,瑞利,101,16
