,公司代號,公司名稱,年份,數量
170,1225,福懋油,109,29
171,1225,福懋油,108,56
172,1225,福懋油,107,18
173,1225,福懋油,106,20
174,1225,福懋油,105,29
175,1225,福懋油,104,34
176,1225,福懋油,103,45
177,1225,福懋油,102,40
178,1225,福懋油,101,15
179,1225,福懋油,100,22
180,1227,佳格,109,14
181,1227,佳格,108,15
182,1227,佳格,107,13
183,1227,佳格,106,20
184,1227,佳格,105,19
185,1227,佳格,104,15
186,1227,佳格,103,7
187,1227,佳格,102,14
188,1227,佳格,101,12
189,1227,佳格,100,15
190,1229,聯華,109,0
191,1229,聯華,108,0
192,1229,聯華,107,0
193,1229,聯華,106,0
194,1229,聯華,105,0
195,1229,聯華,104,0
196,1229,聯華,103,0
197,1229,聯華,102,0
198,1229,聯華,101,0
199,1229,聯華,100,0
200,1231,聯華食,109,8
201,1231,聯華食,108,12
202,1231,聯華食,107,8
203,1231,聯華食,106,13
204,1231,聯華食,105,16
205,1231,聯華食,104,10
206,1231,聯華食,103,10
207,1231,聯華食,102,17
208,1231,聯華食,101,13
209,1231,聯華食,100,18
210,1232,大統益,109,10
211,1232,大統益,108,11
212,1232,大統益,107,24
213,1232,大統益,106,11
214,1232,大統益,105,13
215,1232,大統益,104,18
216,1232,大統益,103,11
217,1232,大統益,102,21
218,1232,大統益,101,14
219,1232,大統益,100,9
220,1233,天仁,109,5
221,1233,天仁,108,13
222,1233,天仁,107,5
223,1233,天仁,106,4
224,1233,天仁,105,16
225,1233,天仁,104,6
226,1233,天仁,103,11
227,1233,天仁,102,15
228,1233,天仁,101,7
229,1233,天仁,100,10
230,1234,黑松,109,12
231,1234,黑松,108,25
232,1234,黑松,107,28
233,1234,黑松,106,20
234,1234,黑松,105,26
235,1234,黑松,104,23
236,1234,黑松,103,25
237,1234,黑松,102,52
238,1234,黑松,101,29
239,1234,黑松,100,27
240,1235,興泰,109,14
241,1235,興泰,108,28
242,1235,興泰,107,24
243,1235,興泰,106,9
244,1235,興泰,105,9
245,1235,興泰,104,10
246,1235,興泰,103,13
247,1235,興泰,102,8
248,1235,興泰,101,11
249,1235,興泰,100,15
250,1236,宏亞,109,11
251,1236,宏亞,108,20
252,1236,宏亞,107,9
253,1236,宏亞,106,11
254,1236,宏亞,105,15
255,1236,宏亞,104,11
256,1236,宏亞,103,12
257,1236,宏亞,102,22
258,1236,宏亞,101,9
259,1236,宏亞,100,14
260,1256,鮮活果汁-KY,109,28
261,1256,鮮活果汁-KY,108,44
262,1256,鮮活果汁-KY,107,25
263,1256,鮮活果汁-KY,106,43
264,1256,鮮活果汁-KY,105,34
265,1256,鮮活果汁-KY,104,26
266,1256,鮮活果汁-KY,103,32
267,1256,鮮活果汁-KY,102,27
268,1256,鮮活果汁-KY,101,13
269,1256,鮮活果汁-KY,100,0
270,1301,台塑,109,43
271,1301,台塑,108,46
272,1301,台塑,107,56
273,1301,台塑,106,57
274,1301,台塑,105,52
275,1301,台塑,104,69
276,1301,台塑,103,72
277,1301,台塑,102,46
278,1301,台塑,101,63
279,1301,台塑,100,74
280,1303,南亞,109,47
281,1303,南亞,108,61
282,1303,南亞,107,63
283,1303,南亞,106,64
284,1303,南亞,105,58
285,1303,南亞,104,50
286,1303,南亞,103,65
287,1303,南亞,102,60
288,1303,南亞,101,74
289,1303,南亞,100,81
290,1304,台聚,109,26
291,1304,台聚,108,27
292,1304,台聚,107,20
293,1304,台聚,106,30
294,1304,台聚,105,23
295,1304,台聚,104,18
296,1304,台聚,103,38
297,1304,台聚,102,18
298,1304,台聚,101,17
299,1304,台聚,100,29
300,1305,華夏,109,29
301,1305,華夏,108,33
302,1305,華夏,107,30
303,1305,華夏,106,33
304,1305,華夏,105,34
305,1305,華夏,104,26
306,1305,華夏,103,19
307,1305,華夏,102,37
308,1305,華夏,101,30
309,1305,華夏,100,31
310,1307,三芳,109,9
311,1307,三芳,108,13
312,1307,三芳,107,20
313,1307,三芳,106,15
314,1307,三芳,105,13
315,1307,三芳,104,16
316,1307,三芳,103,16
317,1307,三芳,102,16
318,1307,三芳,101,12
319,1307,三芳,100,14
320,1308,亞聚,109,12
321,1308,亞聚,108,20
322,1308,亞聚,107,12
323,1308,亞聚,106,13
324,1308,亞聚,105,20
325,1308,亞聚,104,12
326,1308,亞聚,103,13
327,1308,亞聚,102,12
328,1308,亞聚,101,9
329,1308,亞聚,100,21
330,1309,台達化,109,15
331,1309,台達化,108,20
332,1309,台達化,107,26
333,1309,台達化,106,22
334,1309,台達化,105,14
335,1309,台達化,104,29
336,1309,台達化,103,9
337,1309,台達化,102,11
338,1309,台達化,101,15
339,1309,台達化,100,17
340,1310,台苯,109,19
341,1310,台苯,108,26
342,1310,台苯,107,19
343,1310,台苯,106,11
344,1310,台苯,105,32
345,1310,台苯,104,7
346,1310,台苯,103,18
347,1310,台苯,102,44
348,1310,台苯,101,37
349,1310,台苯,100,41
350,1312,國喬,109,24
351,1312,國喬,108,16
352,1312,國喬,107,20
353,1312,國喬,106,16
354,1312,國喬,105,11
355,1312,國喬,104,12
356,1312,國喬,103,15
357,1312,國喬,102,23
358,1312,國喬,101,22
359,1312,國喬,100,21
360,1313,聯成,109,21
361,1313,聯成,108,20
362,1313,聯成,107,20
363,1313,聯成,106,22
364,1313,聯成,105,17
365,1313,聯成,104,26
366,1313,聯成,103,16
367,1313,聯成,102,14
368,1313,聯成,101,21
369,1313,聯成,100,39
370,1314,中石化,109,42
371,1314,中石化,108,33
372,1314,中石化,107,39
373,1314,中石化,106,21
374,1314,中石化,105,32
375,1314,中石化,104,32
376,1314,中石化,103,25
377,1314,中石化,102,35
378,1314,中石化,101,97
379,1314,中石化,100,72
380,1315,達新,109,30
381,1315,達新,108,16
382,1315,達新,107,17
383,1315,達新,106,27
384,1315,達新,105,23
385,1315,達新,104,18
386,1315,達新,103,29
387,1315,達新,102,15
388,1315,達新,101,12
389,1315,達新,100,17
390,1316,上曜,109,28
391,1316,上曜,108,26
392,1316,上曜,107,40
393,1316,上曜,106,34
394,1316,上曜,105,101
395,1316,上曜,104,32
396,1316,上曜,103,30
397,1316,上曜,102,41
398,1316,上曜,101,29
399,1316,上曜,100,13
400,1319,東陽,109,15
401,1319,東陽,108,18
402,1319,東陽,107,12
403,1319,東陽,106,21
404,1319,東陽,105,29
405,1319,東陽,104,21
406,1319,東陽,103,37
407,1319,東陽,102,36
408,1319,東陽,101,28
409,1319,東陽,100,37
410,1321,大洋,109,6
411,1321,大洋,108,8
412,1321,大洋,107,9
413,1321,大洋,106,6
414,1321,大洋,105,10
415,1321,大洋,104,17
416,1321,大洋,103,11
417,1321,大洋,102,13
418,1321,大洋,101,20
419,1321,大洋,100,11
420,1323,永裕,109,16
421,1323,永裕,108,13
422,1323,永裕,107,13
423,1323,永裕,106,20
424,1323,永裕,105,13
425,1323,永裕,104,16
426,1323,永裕,103,27
427,1323,永裕,102,12
428,1323,永裕,101,13
429,1323,永裕,100,21
430,1324,地球,109,6
431,1324,地球,108,9
432,1324,地球,107,23
433,1324,地球,106,10
434,1324,地球,105,9
435,1324,地球,104,23
436,1324,地球,103,16
437,1324,地球,102,19
438,1324,地球,101,20
439,1324,地球,100,14
440,1325,恆大,109,22
441,1325,恆大,108,7
442,1325,恆大,107,6
443,1325,恆大,106,15
444,1325,恆大,105,16
445,1325,恆大,104,8
446,1325,恆大,103,25
447,1325,恆大,102,13
448,1325,恆大,101,10
449,1325,恆大,100,23
450,1326,台化,109,37
451,1326,台化,108,49
452,1326,台化,107,55
453,1326,台化,106,57
454,1326,台化,105,52
455,1326,台化,104,63
456,1326,台化,103,63
457,1326,台化,102,46
458,1326,台化,101,65
459,1326,台化,100,70
460,1337,再生-KY,109,33
461,1337,再生-KY,108,41
462,1337,再生-KY,107,34
463,1337,再生-KY,106,25
464,1337,再生-KY,105,35
465,1337,再生-KY,104,34
466,1337,再生-KY,103,60
467,1337,再生-KY,102,34
468,1337,再生-KY,101,109
469,1337,再生-KY,100,28
470,1338,廣華-KY,109,18
471,1338,廣華-KY,108,20
472,1338,廣華-KY,107,28
473,1338,廣華-KY,106,24
474,1338,廣華-KY,105,19
475,1338,廣華-KY,104,49
476,1338,廣華-KY,103,37
477,1338,廣華-KY,102,21
478,1338,廣華-KY,101,33
